titulo	autor	tipo	paginaIni	paginaFin	posIni	posFin	fecha	mensaje
Controle su destino	Anthony Robbins	Subrayado	107		1639	1645	15/12/2017 08:09:39	Los optimistas son aquellos que, a pesar de no disponer de referencias para el éxito, o incluso de tener referencias de fracaso, se las arreglan para ignorarlas, y dejan sin montar mesas cognitivas como «fracasé» o «no puedo tener éxito». Los optimistas, por el contrario, producen referencias de fe, acumulan todo su poder de imaginación para representarse a sí mismos haciendo algo diferente cada vez y teniendo éxito. Es precisamente esa habilidad especial, ese enfoque único, lo que les permite persistir hasta que terminan por obtener las distinciones que los llevan hasta la cima. La razón por la que el éxito elude a la mayoría de la gente es porque no tiene suficientes referencias de éxito en el pasado. Pero un optimista funciona con creencias como: «El pasado nunca equivale al futuro».
Controle su destino	Anthony Robbins	Subrayado	108		1645	1646	15/12/2017 08:09:44	Todos los grandes líderes, todas las personas que han alcanzado el éxito en cualquier ámbito de la vida, conocen bien el poder de perseguir de forma continuada sus visiones, aunque no dispongan todavía de todos los detalles acerca de cómo alcanzarlas.
Controle su destino	Anthony Robbins	Subrayado	108		1654	1655	15/12/2017 08:10:19	Uno de los mayores desafíos que pueden plantearse en la vida de una persona es saber cómo interpretar los «fracasos».
Controle su destino	Anthony Robbins	Subrayado	109		1661	1662	15/12/2017 08:10:57	En psicología existe un nombre para designar ese estado mental destructivo: incapacidad adquirida.
Controle su destino	Anthony Robbins	Subrayado	109		1667	1671	15/12/2017 08:15:19	Muchas de las personas que han alcanzado un mayor éxito lo han logrado a pesar de encontrarse con enormes problemas y barreras. La diferencia entre ellos y los que abandonan gira alrededor de sus creencias sobre la permanencia de sus problemas, o la falta de ésta. Las personas con éxito raras veces o nunca consideran un problema como permanente, mientras que quienes fracasan tienden a ver cualquier problema como permanente, incluso los más pequeños.
Controle su destino	Anthony Robbins	Subrayado	109		1671	1672	15/12/2017 08:15:35	Una vez adoptada la creencia de que no puede hacerse nada para cambiar algo, sencillamente porque nada de lo que ha hecho hasta ahora ha logrado cambiarlo, empieza a absorber un veneno pernicioso en su sistema.
Controle su destino	Anthony Robbins	Subrayado	110		1680	1681	15/12/2017 08:17:12	La segunda diferencia entre los ganadores y los perdedores, los optimistas y los pesimistas, es su creencia sobre la omnipresencia de los problemas.
Controle su destino	Anthony Robbins	Subrayado	110		1683	1685	15/12/2017 08:17:54	Por el contrario, los pesimistas (los que tienen incapacidad adquirida) han desarrollado la creencia de que, como han fracasado en el ámbito de la vida, son un fracaso.
Controle su destino	Anthony Robbins	Subrayado	111		1689	1691	15/12/2017 08:20:42	La categoría de creencia a la que Seligman llama personal, yo la denomino problema personal. Si no vemos un fracaso como un desafío para modificar nuestra actitud, sino más bien como un problema con nosotros mismos, como un defecto de nuestra personalidad, nos sentiremos inmediatamente abrumados.
Controle su destino	Anthony Robbins	Subrayado	111		1693	1695	15/12/2017 08:21:33	Sostener estas creencias limitado ras equivale a ingerir de forma sistemática diminutas dosis de arsénico que, al cabo del tiempo, se acumulan hasta alcanzar una dosis letal.
Controle su destino	Anthony Robbins	Subrayado	111		1696	1697	15/12/2017 08:22:02	Recuerde que, mientras crea algo, su cerebro actúa como un piloto automático, filtrando cada información procedente del medio ambiente, y buscando referencias para confirmar su creencia, al margen de cuál sea ésta.
Controle su destino	Anthony Robbins	Subrayado	111		1701	1702	15/12/2017 08:22:26	¿cómo cambiamos? La forma más efectiva consiste en conseguir que el cerebro asocie un fuerte dolor con la antigua creencia.
Controle su destino	Anthony Robbins	Subrayado	112		1707	1708	15/12/2017 08:23:10	única razón por la que tenemos una creencia sobre algo es porque vinculamos un fuerte dolor a no creerlo así.
